ktax.id	tax.id	kegg.code	scientific.name	common.name	entrez.gnodes	kegg.geneid	ncbi.geneid	ncbi.proteinid	uniprot
T02729	1597	lcl	Lactobacillus paracasei LOCK919		0	LOCK919_1046	NA	AGP67749	NA
T03050	1597	lpq	Lacticaseibacillus paracasei N1115		0	AF91_05115	NA	AHJ32579	A0A806LFG5
T02808	1597	lpi	Lactobacillus paracasei subsp. paracasei 8700:2		0	LBPG_00681	NA	EEQ65232	A0A826HRW3
T04768	1597	lpap	Lacticaseibacillus paracasei subsp. paracasei		0	LBPC_1915	NA	BAN72211	NA
T00723	1597	lcb	Lacticaseibacillus paracasei BL23		0	LCABL_26500	NA	CAQ67716	B3WAJ7
T03665	1582	lcx	Lactobacillus casei 12A		0	LCA12A_0967	NA	EKP98188	NA
T00987	47715	lrh	Lacticaseibacillus rhamnosus GG		0	LGG_00322	NA	CAR86217	NA
T02100	47715	lrg	Lacticaseibacillus rhamnosus GG		0	LRHM_0413	NA	BAI40940	A0A7S7FMI9
T00990	47715	lrl	Lacticaseibacillus rhamnosus Lc 705		0	LC705_02607	NA	CAR91446	NA
T01961	47715	lra	Lactobacillus rhamnosus ATCC 8530		0	LRHK_249	NA	AER63104	A0A806G898
T02730	47715	lro	Lactobacillus rhamnosus LOCK900		0	LOCK900_2557	NA	AGP72335	NA
T02731	47715	lrc	Lactobacillus rhamnosus LOCK908		0	LOCK908_2080	NA	AGP74703	NA
T07576	2100821	lchi	Lacticaseibacillus chiayiensis		0	KG086_01185	NA	QVI34989	NA
T07978	57037	lze	Lacticaseibacillus zeae		0	KG087_08430	NA	QVI30969	NA
T00115	1590	lpl	Lactobacillus plantarum WCFS1		0	lp_1141	NA	CCC78533	F9UMU4
T00946	1590	lpj	Lactobacillus plantarum JDM1		0	JDM1_0223	NA	ACT61112	NA
T02458	1590	lpt	Lactobacillus plantarum ZJ316		0	zj316_0442	NA	AGE37981	A0A806I4D5
T01324	1590	lps	Lactobacillus plantarum subsp. plantarum ST-III		0	LPST_P0040	NA	ADO00260	NA
T02670	1590	lpr	Lactiplantibacillus plantarum subsp. plantarum P-8		0	LBP_cg2669	NA	AGL65415	NA
T02698	1590	lpz	Lactiplantibacillus plantarum 16		0	Lp16_2595	NA	AGO09254	A0A806J9L7
T03680	1590	lpb	Lactiplantibacillus plantarum B21		0	SH83_13645	NA	AJO75319	A0A0M0CI60
T04156	60520	lpx	Lactiplantibacillus paraplantarum		0	ASU28_04485	NA	ALO03668	A0A370AFN7
T05251	1589	lpg	Lactiplantibacillus pentosus		0	BB562_14920	NA	AUI79873	A0A241RQD9
T07625	271881	larg	Lactiplantibacillus argentoratensis		0	LPA65_02045	NA	AYJ34632	A0A8D4N8Q5
T00535	1598	lre	Lactobacillus reuteri DSM 20016		0	Lreu_0112	NA	ABQ82384	A5VHR0
T00735	1598	lrf	Lactobacillus reuteri JCM 1112		0	LAR_0108	NA	BAG24624	B2G592
T01551	1598	lru	Lactobacillus reuteri SD2112		0	HMPREF0538_21400	NA	AEI57610	F8DKZ1
T02701	1598	lrt	Lactobacillus reuteri I5007		0	LRI_1815	NA	AGO00025	R9WIN7
T02745	1598	lrr	Lactobacillus reuteri TD1		0	N134_01050	NA	AGR63665	S5NMF6
T00699	1613	lfe	Lactobacillus fermentum IFO 3956		0	LAF_0220	NA	BAG26556	B2GA74
T01958	1613	lfr	Lactobacillus fermentum CECT 5716		0	LC40_0120	NA	ADJ40782	NA
T02669	1613	lff	Limosilactobacillus fermentum F-6		0	LBFF_1820	NA	AGL89710	A0A806IZ65
T03814	97478	lmu	Limosilactobacillus mucosae		0	LBLM1_02680	NA	AJT50085	A0A0D4CJK9
