# Converted from egSymb.rda
# Total elements extracted: 81569

Index	Value	Type
918	100128453	data
919	100128454	data
920	100128455	data
921	100128456	data
922	100128457	data
923	100128458	data
924	100128459	data
925	100128460	data
926	100128461	data
927	100128462	data
928	100128464	data
929	100128465	data
930	100128466	data
931	100128467	data
932	100128468	data
933	100128469	data
934	100128470	data
935	100128471	data
936	100128472	data
937	100128473	data
938	100128474	data
939	100128475	data
940	100128476	data
941	100128477	data
942	100128482	data
943	100128483	data
944	100128484	data
945	100128485	data
946	100128487	data
947	100128489	data
948	100128490	data
949	100128491	data
950	100128492	data
951	100128493	data
952	100128494	data
953	100128495	data
954	100128496	data
955	100128497	data
956	100128498	data
957	100128499	data
958	100128500	data
959	100128501	data
960	100128503	data
961	100128505	data
962	100128506	data
963	100128507	data
964	100128508	data
965	100128510	data
966	100128511	data
967	100128512	data
968	100128514	data
969	100128516	data
970	100128517	data
971	100128519	data
972	100128520	data
973	100128521	data
974	100128522	data
975	100128523	data
976	100128524	data
977	100128525	data
978	100128526	data
979	100128528	data
980	100128529	data
981	100128530	data
982	100128531	data
983	100128532	data
984	100128533	data
985	100128534	data
986	100128535	data
987	100128536	data
988	100128537	data
989	100128538	data
990	100128539	data
991	100128540	data
992	100128541	data
993	100128542	data
994	100128543	data
995	100128545	data
996	100128546	data
997	100128547	data
998	100128548	data
999	100128549	data
