"gene_set","p.geomean","stat.mean","p.val","q.val","set.size","DCIS_1","DCIS_2","DCIS_3","DCIS_4","DCIS_5","DCIS_6"
"hsa00300 Lysine biosynthesis",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"hsa00400 Phenylalanine, tyrosine and tryptophan biosynthesis",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"hsa00430 Taurine and hypotaurine metabolism",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"hsa00460 Cyanoamino acid metabolism",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"hsa00471 D-Glutamine and D-glutamate metabolism",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"hsa00472 D-Arginine and D-ornithine metabolism",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"hsa00730 Thiamine metabolism",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"hsa00740 Riboflavin metabolism",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
"hsa00750 Vitamin B6 metabolism",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"hsa00780 Biotin metabolism",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"hsa00785 Lipoic acid metabolism",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"hsa00920 Sulfur metabolism",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
"hsa04122 Sulfur relay system",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
